Date,Forecast_Crimes,Lower_CI,Upper_CI
2026-01-01,36.637321800916595,33.64726567282131,39.62737792901188
2026-02-01,34.41621523865301,30.86711262037927,37.96531785692675
2026-03-01,34.416121034638955,30.47588664123584,38.35635542804207
2026-04-01,36.63676895895248,32.358086045280565,40.915451872624395
2026-05-01,36.6367609390122,32.04793489108813,41.225586986936264
2026-06-01,43.76811403417471,38.8895149668638,48.64671310148562
2026-07-01,19.50074580576347,14.348790978184564,24.652700633342373
2026-08-01,19.500739678320794,14.089261078624197,24.91221827801739
2026-09-01,19.500650616622917,13.84159680213336,25.159704431112473
2026-10-01,19.50023001726084,13.604225871480985,25.396234163040695
2026-11-01,19.49828294133987,13.375558010798205,25.621007871881535
2026-12-01,19.489285757009256,13.152925780157313,25.8256457338612
